"Relevé number","PriorCluster","SIVIMID","EUNIS_REVISED","EUNIS2020","Twinspan","Twinspan2","Class","Order","Alliance","Sintaxon","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
"1119",7,"S-P18277","V37"," V37   ","V35 Trampled","V35 Mesic trampled annuals","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Asociación de Lolium perenne-Plantago major","N",20,25,"1974",-5.969519298,43.15816686,"1 - UTM1x1 + Elevation",490
"1120",9,"S-P18282","V39"," V38   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","S",40,30,"1974",-5.92266808,43.15577265,"1 - UTM1x1 + Elevation",850
"1121",9,"S-P18283","V39"," V38   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","SE",30,30,"1974",-5.92266808,43.15577265,"1 - UTM1x1 + Elevation",830
"1122",9,"S-P18284","V39"," V38   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,40,"1974",-6.025787152,43.20171132,"1 - UTM1x1 + Elevation",300
"1123",9,"S-P18285","V39"," R57   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","S",20,40,"1974",-6.028245514,43.20164621,"2 - UTM1x1 + Centroid",250
"1124",9,"S-P18286","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Mulgedio-Aconitetea","Senecioni rupestris-Rumicetalia","Rumicion alpini","Chenopodion subalpinum","NE",15,20,"1974",-5.928699398,43.17902885,"1 - UTM1x1 + Elevation",1540
"1125",9,"S-P18287","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Mulgedio-Aconitetea","Senecioni rupestris-Rumicetalia","Rumicion alpini","Chenopodion subalpinum","W",10,30,"1974",-5.928699398,43.17902885,"1 - UTM1x1 + Elevation",1570
"1126",0,"S-P18288",""," V     ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Mulgedio-Aconitetea","Senecioni rupestris-Rumicetalia","Rumicion alpini","Chenopodion subalpinum","",NA,15,"1974",-5.934735765,43.20228451,"2 - UTM1x1 + Centroid",1760
"1127",0,"S-P18289",""," V     ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Mulgedio-Aconitetea","Senecioni rupestris-Rumicetalia","Rumicion alpini","Chenopodion subalpinum","N",20,20,"1974",-5.934649484,43.20048592,"1 - UTM1x1 + Elevation",1600
"1128",7,"S-P18290","V37"," V37   ","V37 Annual ruderals","V37 Annual ruderals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","",NA,15,"1974",-5.969432129,43.15636831,"2 - UTM1x1 + Centroid",420
"1129",7,"S-P18291","V37"," V37   ","V37 Annual ruderals","V37 Annual ruderals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","",NA,8,"1974",-5.969432129,43.15636831,"2 - UTM1x1 + Centroid",380
"1130",7,"S-P18292","V37"," V37   ","V35 Trampled","V35 Mesic trampled annuals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","SE",20,10,"1974",-5.993299718,43.19176191,"3 - UTM10x10 + Elevation",350
"1131",4,"S-P18293","V15"," V37   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","N",50,15,"1974",-5.993299718,43.19176191,"3 - UTM10x10 + Elevation",360
"1132",7,"S-P18294","V37"," V37   ","V35 Trampled","V35 Mesic trampled annuals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","NW",30,15,"1974",-5.993299718,43.19176191,"3 - UTM10x10 + Elevation",370
"1133",7,"S-P18295","V37"," R57   ","V37 Annual ruderals","V37 Annual ruderals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","SW",20,20,"1974",-5.874621222,43.23262495,"1 - UTM1x1 + Elevation",310
"1134",7,"S-P18296","V37"," V37   ","V37 Annual ruderals","V37 Annual ruderals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","E",25,15,"1974",-5.272624467,43.10479993,"4 - UTM10x10 + Centroid",290
"1135",4,"S-P18297","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Polygono-Chenopodion polyspermi","S",30,20,"1974",-5.92292549,43.16116851,"1 - UTM1x1 + Elevation",930
"1136",4,"S-P18298","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Polygono-Chenopodion polyspermi","",NA,20,"1974",-6.064759579,43.19346982,"1 - UTM1x1 + Elevation",450
"1137",4,"S-P18299","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Polygono-Chenopodion polyspermi","",NA,35,"1974",-5.971801567,43.15450593,"1 - UTM1x1 + Elevation",480
"1138",4,"S-P18300","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Polygono-Chenopodion polyspermi","",NA,20,"1974",-5.969432129,43.15636831,"1 - UTM1x1 + Elevation",450
"1139",4,"S-P18301","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Polygono-Chenopodion polyspermi","",NA,20,"1974",-5.976103332,43.17763085,"4 - UTM10x10 + Centroid",300
"1140",4,"S-P18302","V15"," V37   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Polygono-Chenopodion polyspermi","SW",15,20,"1974",-6.025787152,43.20171132,"1 - UTM1x1 + Elevation",280
"1141",4,"S-P18303","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Polygono-Chenopodion polyspermi","",NA,20,"1974",-5.920211322,43.15583543,"1 - UTM1x1 + Elevation",880
"1142",4,"S-P18304","V15"," V37   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Polygono-Chenopodion polyspermi","",NA,20,"1974",-5.976103332,43.17763085,"4 - UTM10x10 + Centroid",320
"1143",4,"S-P18305","V15"," V37   ","V15 Weeds of rich soils","V15 Summer weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Polygono-Chenopodion polyspermi","",NA,30,"1974",-6.028245514,43.20164621,"2 - UTM1x1 + Centroid",260
"1144",4,"S-P18306","V15"," V15   ","V15 Weeds of rich soils","V15 Summer weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Polygono-Chenopodion polyspermi","",NA,25,"1974",-5.97197604,43.15810302,"1 - UTM1x1 + Elevation",440
"1145",4,"S-P19638","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chenopodietalia albi","N",5,100,"1972",-8.094531643,43.09755987,"3 - UTM10x10 + Elevation",510
"1146",4,"S-P19639","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chenopodietalia albi","S",5,100,"1972",-8.088912404,43.14822496,"3 - UTM10x10 + Elevation",490
"1147",4,"S-P19640","V15"," V15   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chenopodietalia albi","",NA,100,"1972",-8.097725607,43.10641983,"3 - UTM10x10 + Elevation",470
"1148",4,"S-P19641","V15"," V15   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chenopodietalia albi","",NA,100,"1972",-8.090827989,43.11212926,"3 - UTM10x10 + Elevation",490
"1149",4,"S-P19642","V15"," V15   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chenopodietalia albi","",NA,100,"1972",-8.02314755,43.12593125,"3 - UTM10x10 + Elevation",490
"1150",4,"S-P19643","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chenopodietalia albi","",NA,25,"1972",-8.051502377,43.11207612,"3 - UTM10x10 + Elevation",480
"1151",4,"S-P19644","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chenopodietalia albi","",NA,25,"1972",-8.064636093,43.18171421,"3 - UTM10x10 + Elevation",475
"1152",0,"S-P19645","V35"," V     ","V35 Trampled","V35 Mesic trampled annuals",NA,NA,NA,"Associació-Desconeguda","S",NA,NA,"1972",-8.138701304,43.12618824,"3 - UTM10x10 + Elevation",480
"1153",4,"S-P19648","V15"," V15   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils",NA,NA,NA,"Associació-Desconeguda","",NA,NA,"1972",-7.898781588,43.16914822,"3 - UTM10x10 + Elevation",470
"1154",7,"S-P19649","V37"," V37   ","V35 Trampled","V35 Mesic trampled annuals",NA,NA,NA,"Associació-Desconeguda","",NA,NA,"1972",-8.119661845,43.16305414,"3 - UTM10x10 + Elevation",480
"1155",8,"S-P19747","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Carthametalia lanati","Carduo carpetani-Cirsion odontolepidis","Carduo carpetani-Onopordetum acanthii","",NA,150,"2001",-5.639464935,42.80428532,"3 - UTM10x10 + Elevation",950
"1156",6,"S-P19749","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Matricario-Polygonetum arenastrii","",4.5,5,"2001",-5.595407568,42.80349211,"3 - UTM10x10 + Elevation",1000
"1157",9,"S-P19751","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","S",1.8,4,"2001",-5.633738198,42.784607,"3 - UTM10x10 + Elevation",970
"1158",1,"S-P19764","R36"," R21   ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolio perennis-Plantaginetum majoris","",NA,10,"2001",-5.633247428,42.91697961,"4 - UTM10x10 + Centroid",1000
"1159",3,"S-P20227","U37"," H32d  ","U37 Walls","U37 Walls","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Oxali-Parietarietum diffusae","S",NA,5,"1972",-8.835928453,42.28608529,"3 - UTM10x10 + Elevation",50
"1160",3,"S-P20228","U37"," H32d  ","U37 Walls","U37 Walls","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Oxali-Parietarietum diffusae","SW",NA,10,"1972",-8.810109025,42.32160787,"3 - UTM10x10 + Elevation",70
"1161",3,"S-P20229","U37"," V     ","U37 Walls","U37 Walls","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Oxali-Parietarietum diffusae","E",NA,10,"1972",-8.680480713,42.28311436,"3 - UTM10x10 + Elevation",10
"1162",3,"S-P20230","U37"," V15   ","U37 Walls","U37 Walls","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Oxali-Parietarietum diffusae","S",NA,10,"1972",-8.82620396,42.25957595,"3 - UTM10x10 + Elevation",50
"1163",3,"S-P20231","U37"," V     ","U37 Walls","U37 Walls","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Oxali-Parietarietum diffusae","E",NA,10,"1972",-8.69927276,42.22276562,"3 - UTM10x10 + Elevation",50
"1164",4,"S-P20358","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","SW",NA,10,"1972",-8.815893813,42.25289956,"3 - UTM10x10 + Elevation",20
"1165",4,"S-P20359","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","S",NA,10,"1972",-8.762577319,42.19978799,"3 - UTM10x10 + Elevation",10
"1166",4,"S-P20360","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","NW",NA,10,"1972",-8.807528945,42.31993864,"3 - UTM10x10 + Elevation",60
"1167",4,"S-P20361","V15"," R     ","V35 Trampled","V35 Mesic trampled annuals","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","NW",NA,10,"1972",-8.846578977,42.29634309,"3 - UTM10x10 + Elevation",20
"1168",4,"S-P20362","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","SW",NA,15,"1972",-8.715038524,42.23638179,"3 - UTM10x10 + Elevation",40
"1169",4,"S-P20363","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","S",NA,10,"1972",-8.692361542,42.22671075,"3 - UTM10x10 + Elevation",50
"1170",0,"S-P20364",""," R22   ","V37 Annual ruderals","V37 Annual ruderals","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","E",NA,10,"1972",-8.695258067,42.23196771,"3 - UTM10x10 + Elevation",80
"1171",4,"S-P20365","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","N",NA,5,"1972",-8.741504596,42.42049594,"3 - UTM10x10 + Elevation",100
"1172",4,"S-P20366","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","NW",NA,8,"1972",-8.671631958,42.29255581,"3 - UTM10x10 + Elevation",50
"1173",4,"S-P20367","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","SW",NA,10,"1972",-8.788432989,42.25734148,"4 - UTM10x10 + Centroid",700
"1174",4,"S-P20368","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","W",NA,10,"1972",-8.831525551,42.26470565,"3 - UTM10x10 + Elevation",80
"1175",4,"S-P20369","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","W",NA,10,"1972",-8.83493295,42.27533393,"3 - UTM10x10 + Elevation",150
"1176",4,"S-P20370","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","S",NA,10,"1972",-8.778387429,42.31961549,"3 - UTM10x10 + Elevation",110
"1177",4,"S-P20371","V15"," V     ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","S",NA,15,"1972",-8.784260051,42.27790969,"3 - UTM10x10 + Elevation",100
"1178",4,"S-P20372","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","NW",NA,10,"1972",-8.807070288,42.26235004,"3 - UTM10x10 + Elevation",100
"1179",4,"S-P20373","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","SW",NA,10,"1972",-8.852072083,42.30326336,"3 - UTM10x10 + Elevation",50
"1180",4,"S-P20374","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","SW",NA,11,"1972",-8.768499807,42.18508625,"3 - UTM10x10 + Elevation",90
"1181",4,"S-P20375","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","NW",NA,5,"1972",-8.77437999,42.32881996,"3 - UTM10x10 + Elevation",20
"1182",4,"S-P20376","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","NE",NA,10,"1972",-8.784260051,42.27790969,"3 - UTM10x10 + Elevation",110
"1183",4,"S-P20377","V15"," V     ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","SE",NA,10,"1972",-8.771750482,42.30014667,"3 - UTM10x10 + Elevation",300
"1184",4,"S-P20378","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","SE",NA,10,"1972",-8.793370647,42.32425804,"3 - UTM10x10 + Elevation",120
"1185",4,"S-P20379","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","E",NA,4,"1972",-8.792431791,42.1820759,"3 - UTM10x10 + Elevation",50
"1186",4,"S-P20380","V15"," R     ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","SE",NA,5,"1972",-8.71524754,42.2921837,"3 - UTM10x10 + Elevation",50
"1187",4,"S-P20381","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","W",NA,5,"1972",-8.655053696,42.32398425,"3 - UTM10x10 + Elevation",50
"1188",4,"S-P20382","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","S",NA,5,"1972",-8.73873381,42.28380534,"3 - UTM10x10 + Elevation",40
"1189",4,"S-P20383","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","SE",NA,4,"1972",-8.728858924,42.22848846,"3 - UTM10x10 + Elevation",40
"1190",4,"S-P20384","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","S",NA,5,"1972",-8.745086926,42.22047253,"3 - UTM10x10 + Elevation",40
"1191",4,"S-P20385","V15"," V32   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Chrysanthemum segetum-Raphanetum","N",NA,7,"1972",-8.70650693,42.22240476,"3 - UTM10x10 + Elevation",40
"1192",4,"S-P20386","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","SE",NA,10,"1972",-8.763843749,42.18712146,"3 - UTM10x10 + Elevation",100
"1193",4,"S-P20387","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","SE",NA,30,"1972",-8.812854767,42.32506898,"3 - UTM10x10 + Elevation",100
"1194",4,"S-P20388","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","E",NA,20,"1972",-8.791120671,42.32617246,"3 - UTM10x10 + Elevation",50
"1195",4,"S-P20389","V15"," V     ","V15 Weeds of rich soils","V15 Summer weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","W",NA,30,"1972",-8.733845821,42.36326797,"3 - UTM10x10 + Elevation",20
"1196",4,"S-P20390","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","SW",NA,20,"1972",-8.740604573,42.35752745,"3 - UTM10x10 + Elevation",30
"1197",4,"S-P20391","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","NW",NA,20,"1972",-8.862219828,42.25593399,"3 - UTM10x10 + Elevation",80
"1198",4,"S-P20392","V15"," V15   ","V15 Weeds of rich soils","V15 Summer weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","SW",NA,30,"1972",-8.763843749,42.18712146,"3 - UTM10x10 + Elevation",100
"1199",4,"S-P20393","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","S",NA,20,"1972",-8.809547093,42.28922975,"3 - UTM10x10 + Elevation",60
"1200",4,"S-P20394","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","SW",NA,6,"1972",-8.827528709,42.27391134,"3 - UTM10x10 + Elevation",60
"1201",4,"S-P20395","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","S",NA,8,"1972",-8.850157672,42.30876246,"3 - UTM10x10 + Elevation",20
"1202",4,"S-P20396","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","N",NA,4,"1972",-8.814607303,42.31777833,"3 - UTM10x10 + Elevation",70
"1203",4,"S-P20397","V15"," V15   ","V15 Weeds of rich soils","V15 Summer weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","SE",NA,10,"1972",-8.734575875,42.42444471,"3 - UTM10x10 + Elevation",150
"1204",4,"S-P20398","V15"," V15   ","V15 Weeds of rich soils","V15 Summer weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","SW",NA,20,"1972",-8.779105114,42.27456969,"3 - UTM10x10 + Elevation",15
"1205",4,"S-P20399","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","S",NA,20,"1972",-8.783931179,42.27432557,"3 - UTM10x10 + Elevation",60
"1206",4,"S-P20400","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","SE",NA,2,"1972",-8.760167041,42.19990945,"3 - UTM10x10 + Elevation",20
"1207",4,"S-P20401","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","W",NA,2,"1972",-8.725391995,42.29707719,"3 - UTM10x10 + Elevation",50
"1208",4,"S-P20402","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","S",NA,4,"1972",-8.818967071,42.25994461,"3 - UTM10x10 + Elevation",30
"1209",0,"S-P20403",""," V     ","V35 Trampled","V35 Mesic trampled annuals","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","E",NA,10,"1972",-8.754693811,42.19298353,"3 - UTM10x10 + Elevation",50
"1210",4,"S-P20404","V15"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","E",NA,20,"1972",-8.768468982,42.26430467,"3 - UTM10x10 + Elevation",25
"1211",4,"S-P20405","V15"," V15   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Digitario sanguinalis-Eragrostietea","Eragrostietalia","Spergulo arvensis-Erodion cicutariae","Panicum sanguinale-Mercurialis annua","NW",NA,10,"1972",-8.643611937,42.4127703,"3 - UTM10x10 + Elevation",80
