"EM","Name","Note","Family","Endem","Lifeform","Binomen/trinomen","Notes for (-) or (?)","Genus","Species","Infra.r","Infrasp","Authority","UICN-SP","Asturias","Cantabria","Galicia","CyL","PRO","Spain Catalogues of protected species","DH","SOLO PARA AUTORES","Diagnosis","V2","Phytosociology (Rivas-Martinez et al. 2001)","TPLName","TPLNameFull","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","family","order","class","clade","group","F","K","L","N","R","T"
"+","Scorzoneroides carpetana (Lange) Greuter",".","Compositae",".","Hemicryptophyte","Scorzoneroides carpetana",".","Scorzoneroides","carpetana",NA,NA,"(Lange) Greuter",".",".",".",".",".",NA,NA,NA,NA,"Native",2314,"14. Scheuchzerio palustris-Caricetea nigrae","Scorzoneroides carpetana","Scorzoneroides carpetana (Lange) Greuter","Scorzoneroides","","carpetana","","","(Lange) Greuter","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",6,5,7,3,4,5
"+","Scorzoneroides duboisii (Sennen) Greuter",".","Compositae",".","Hemicryptophyte","Scorzoneroides duboisii",".","Scorzoneroides","duboisii",NA,NA,"(Sennen) Greuter",".",".",".",".",".",NA,NA,NA,"LC. En Flora iberica XVI(II): 1101 (2017) se refiere las plantas cantábricas que así hemos estado llamando a formas extremas de S. carpetana s. str. BJA: no puedo acceder al volumen pero me cuesta hacerme a la idea, el taxon parece bien reconocido como endémico pirenaico-cantábrico y así lo hemos determinado siempre con las poblaciones de tremedales","Native",2315,"76.1. Fagion sylvaticae","Scorzoneroides duboisii","Scorzoneroides duboisii (Sennen) Greuter","Scorzoneroides","","duboisii","","","(Sennen) Greuter","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",9,5,7,3,5,4
"+","Scrophularia alpestris J.Gay ex Benth.",".","Scrophulariaceae",".","Hemicryptophyte","Scrophularia alpestris",".","Scrophularia","alpestris",NA,NA,"J.Gay ex Benth.",".",".",".",".",".",NA,NA,NA,NA,"Native",2316,"40b. Calystegietalia sepium","Scrophularia alpestris","Scrophularia alpestris J.Gay ex Benth.","Scrophularia","","alpestris","","","J.Gay ex Benth.","Scrophulariaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",7,5,5,5,5,5
"+","Scrophularia auriculata L.",".","Scrophulariaceae",".","Hemicryptophyte","Scrophularia auriculata",".","Scrophularia","auriculata",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2317,"33d. Andryaletalia ragusinae","Scrophularia auriculata","Scrophularia auriculata L.","Scrophularia","","auriculata","","","L.","Scrophulariaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",8,4,6,6,6,6
"+","Scrophularia canina subsp. crithmifolia (Boiss.) O. Bolòs & Vigo",".","Scrophulariaceae",".","Chamaephyte","Scrophularia canina subsp. crithmifolia",".","Scrophularia","canina","subsp.","crithmifolia","(Boiss.) O. Bolòs & Vigo",".",".",".",".",".",NA,NA,NA,NA,"Native",2319,"40.2. Galio aparines-Alliarion petiolatae","Scrophularia canina","Scrophularia canina subsp. crithmifolia (Boiss.) O.Bolòs & Vigo","Scrophularia","","canina","subsp.","crithmifolia","(Boiss.) O.Bolòs & Vigo","Scrophulariaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,4,7,6
"+","Scrophularia canina subsp. canina L.",".","Scrophulariaceae",".","Chamaephyte","Scrophularia canina subsp. canina",".","Scrophularia","canina","subsp.","canina","L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2318,"32a. Phagnalo saxatilis-Rumicetalia indurati","Scrophularia canina","Scrophularia canina L.","Scrophularia","","canina","","","L.","Scrophulariaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,4,7,6
"+","Scrophularia herminii Hoffmanns. & Link",".","Scrophulariaceae",".","Hemicryptophyte","Scrophularia herminii",".","Scrophularia","herminii",NA,NA,"Hoffmanns. & Link","EN",".",".",".",".",NA,NA,"Annex V","FdelEg: Dejarla como herminii: Euro+Med la acepta como tal y Fl. ib también..","Native",2320,"En Alnion incanae","Scrophularia herminii","Scrophularia herminii Hoffmanns. & Link","Scrophularia","","herminii","","","Hoffmanns. & Link","Scrophulariaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",8,5,6,5,5,5
"+","Scrophularia nodosa L.",".","Scrophulariaceae",".","Hemicryptophyte","Scrophularia nodosa",".","Scrophularia","nodosa",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2321,"29.3. Valeriano longifoliae-Petrocoptidion","Scrophularia nodosa","Scrophularia nodosa L.","Scrophularia","","nodosa","","","L.","Scrophulariaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",7,5,5,6,6,6
"+","Scrophularia scorodonia L.",".","Scrophulariaceae",".","Hemicryptophyte","Scrophularia scorodonia",".","Scrophularia","scorodonia",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2324,".","Scrophularia scorodonia","Scrophularia scorodonia L.","Scrophularia","","scorodonia","","","L.","Scrophulariaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",6,5,7,5,6,6
"+","Scutellaria alpina L.",".","Lamiaceae",".","Hemicryptophyte","Scutellaria alpina",".","Scutellaria","alpina",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2326,"68. Alnetea glutinosae","Scutellaria alpina","Scutellaria alpina L.","Scutellaria","","alpina","","","L.","Lamiaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,3,7,5
"+","Scutellaria galericulata L.",".","Lamiaceae",".","Hemicryptophyte","Scutellaria galericulata",".","Scutellaria","galericulata",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2327,"59.3. Juncion acutiflori","Scutellaria galericulata","Scutellaria galericulata L.","Scutellaria","","galericulata","","","L.","Lamiaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",9,5,7,6,6,6
"+","Scutellaria minor Huds.",".","Lamiaceae",".","Hemicryptophyte","Scutellaria minor",".","Scutellaria","minor",NA,NA,"Huds.",".",".",".",".",".",NA,NA,NA,NA,"Native",2328,"55. Sedo albi-Scleranthetea biennis","Scutellaria minor","Scutellaria minor Huds.","Scutellaria","","minor","","","Huds.","Lamiaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",9,4,7,4,5,5
"+","Sedum acre L.",".","Crassulaceae",".","Chamaephyte","Sedum acre",".","Sedum","acre",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2329,"55.3. Alysso alyssoidis-Sedion albi","Sedum acre","Sedum acre L.","Sedum","","acre","","","L.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",4,5,8,4,6,6
"+","Sedum album L.",".","Crassulaceae",".","Chamaephyte","Sedum album",".","Sedum","album",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2330,"48. Salicetea herbaceae","Sedum album","Sedum album L.","Sedum","","album","","","L.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,4,6,6
"+","Sedum alpestre Vill.",".","Crassulaceae",".","Chamaephyte","Sedum alpestre",".","Sedum","alpestre",NA,NA,"Vill.",".",".",".",".","AtP","y",NA,NA,NA,"Native",2331,"55. Sedo albi-Scleranthetea biennis","Sedum alpestre","Sedum alpestre Vill.","Sedum","","alpestre","","","Vill.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",5,6,8,2,4,3
"-","Petrosedum amplexicaule (DC.) Velayos",".","Crassulaceae",".","Chamaephyte","Petrosedum amplexicaule",".","Petrosedum","amplexicaule",NA,NA,"(DC.) Velayos",".",".",".",".",".",NA,NA,NA,"EC: Nikulina et al. (2016) presentan los resultados de un estudio del género Sedum y otros afines de la familia Crassula-ceae basado en análisis de secuencias de la región ITS (“Internal Transcribed Spacer”); de los resultados obtenidos concluyen que el carácter polifilético del género Sedum exige una revisión de la sistemática de este grupo de plantas.
Petrosedum amplexicaule (DC.) Velayos, Anales Jard. Bot. Madrid 45(2): 40 (1989).","Native",2332,"55.2. Sedion pyrenaici","Sedum amplexicaule","Sedum amplexicaule DC.","Sedum","","amplexicaule","","","DC.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",6,5,7,4,5,6
"+","Sedum anglicum subsp. pyrenaicum Lange",".","Crassulaceae",".","Chamaephyte","Sedum anglicum subsp. pyrenaicum",".","Sedum","anglicum","subsp.","pyrenaicum","Lange",".",".",".",".",".",NA,NA,NA,NA,"Native",2333,"55. Sedo albi-Scleranthetea biennis","Sedum anglicum","Sedum anglicum subsp. pyrenaicum Lange","Sedum","","anglicum","subsp.","pyrenaicum","Lange","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",5,5,7,3,4,5
"+","Sedum annuum L.",".","Crassulaceae",".","Therophyte","Sedum annuum",".","Sedum","annuum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2334,"50.4 Sedion pedicellato-andegavensis","Sedum annuum","Sedum annuum L.","Sedum","","annuum","","","L.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Sedum arenarium Brot.",".","Crassulaceae",".","Therophyte","Sedum arenarium",".","Sedum","arenarium",NA,NA,"Brot.",".",".",".",".",".",NA,NA,NA,NA,"Native",2335,"45a. Seslerietalia caeruleae","Sedum arenarium","Sedum arenarium Brot.","Sedum","","arenarium","","","Brot.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",4,5,8,3,4,7
"+","Sedum atratum L.",".","Crassulaceae",".","Therophyte","Sedum atratum",".","Sedum","atratum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2336,"55. Sedo albi-Scleranthetea biennis","Sedum atratum","Sedum atratum L.","Sedum","","atratum","","","L.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",5,6,8,3,7,4
"+","Sedum brevifolium DC.",".","Crassulaceae",".","Chamaephyte","Sedum brevifolium",".","Sedum","brevifolium",NA,NA,"DC.",".",".",".",".",".",NA,NA,NA,NA,"Native",2337,"50.1b. Sedenion caespitosi","Sedum brevifolium","Sedum brevifolium DC.","Sedum","","brevifolium","","","DC.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",4,6,8,3,4,4
"+","Sedum candolleanum G.López",".","Crassulaceae",".","Therophyte","Sedum candolleanum",".","Sedum","candolleanum",NA,NA,"G.López",".",".",".",".",".",NA,NA,NA,NA,"Native",2339,"En Parietarietea","Sedum candolleanum","Sedum candolleanum G.López","Sedum","","candolleanum","","","G.López","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",4,6,8,2,4,3
"+","Sedum cepaea L.",".","Crassulaceae",".","Therophyte","Sedum cepaea",".","Sedum","cepaea",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2340,"27c. Asplenietalia petrarchae","Sedum cepaea","Sedum cepaea L.","Sedum","","cepaea","","","L.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Sedum caespitosum (Cav.) DC.",".","Crassulaceae",".","Therophyte","Sedum caespitosum",".","Sedum","caespitosum",NA,NA,"(Cav.) DC.",".",".",".",".",".",NA,NA,NA,NA,"Native",2338,"48.3. Sedion candollei","Sedum cespitosum","Sedum cespitosum (Cav.) DC.","Sedum","","cespitosum","","","(Cav.) DC.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Sedum dasyphyllum subsp. glanduliferum (Guss.) Nyman",".","Crassulaceae",".","Chamaephyte","Sedum dasyphyllum subsp. glanduliferum",".","Sedum","dasyphyllum","subsp.","glanduliferum","(Guss.) Nyman",".",".",".",".",".",NA,NA,NA,NA,"Native",2341,"57. Stipo giganteae-Agrostietea castellanae","Sedum dasyphyllum","Sedum dasyphyllum L.","Sedum","","dasyphyllum","","","L.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",4,5,7,4,7,6
"-","Petrosedum forsterianum (Sm.) Grulich",".","Crassulaceae",".","Chamaephyte","Petrosedum forsterianum",".","Petrosedum","forsterianum",NA,NA,"(Sm.) Grulich",".",".",".",".",".",NA,NA,NA,"EC. Petrosedum forsterianum (Sm.) Grulich, Preslia 56(1): 40 (1984).","Native",2342,"32a. Phagnalo saxatilis-Rumicetalia indurati","Sedum forsterianum","Sedum forsterianum Sm.","Sedum","","forsterianum","","","Sm.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",5,5,7,4,6,6
"+","Sedum hirsutum All.",".","Crassulaceae",".","Chamaephyte","Sedum hirsutum",".","Sedum","hirsutum",NA,NA,"All.",".",".",".",".",".",NA,NA,NA,NA,"Native",2343,"En Sedo-Scleranthetea","Sedum hirsutum","Sedum hirsutum All.","Sedum","","hirsutum","","","All.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",5,5,7,3,5,5
"+","Sedum nevadense Coss.",".","Crassulaceae",".","Therophyte","Sedum nevadense",".","Sedum","nevadense",NA,NA,"Coss.",".",".",".",".","AtP","y",NA,NA,NA,"Native",2344,"55.1. Sedion anglici","Sedum nevadense","Sedum nevadense Coss.","Sedum","","nevadense","","","Coss.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Sedum rubens L.",".","Crassulaceae",".","Therophyte","Sedum rubens",".","Sedum","rubens",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2346,"55. Sedo albi-Scleranthetea biennis","Sedum rubens","Sedum rubens L.","Sedum","","rubens","","","L.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"-","Petrosedum sediforme (Jacq.) Grulich",".","Crassulaceae",".","Chamaephyte","Petrosedum sediforme",".","Petrosedum","sediforme",NA,NA,"(Jacq.) Grulich",".",".",".",".",".",NA,NA,NA,"EC: Petrosedum sediforme (Jacq.) Grulich, Preslia 56(1): 41 (1984)","Native",2348,"11.1. Cardamino amarae-Montion fontanae","Sedum sediforme","Sedum sediforme (Jacq.) Pau","Sedum","","sediforme","","","(Jacq.) Pau","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",4,5,8,3,7,6
"+","Hylotelephium telephium (L.) H. Ohba",".","Crassulaceae",".","Hemicryptophyte","Hylotelephium telephium",".","Hylotelephium","telephium",NA,NA,"(L.) H. Ohba",".",".",".",".",".",NA,NA,NA,"LC: Persisten las dudas acerca de su naturalidad que expresaban ya Velayos & Castroviejo en Flora iberica.El catálogo asturiano reciente lo da por tan solo cultivado. pero lo cierto es que no solo sw asilvestra sino que, por ejemplo en el valle de Degaña, se lo ve en orlas soleadas de robledales secos, lejos de pueblos y en situaciones que no deben de diferir mucho de aquellas en las que la planta, en los Pirineos, es indiscutiblemente autóctona.. BJA: Es verdad que en Fl Ib mantienen ""ciertas dudas"" pero también dicen que en Asturias parece espontáneo y es nativo de regiones próximas. Mientras no se demuestre lo contario, propongo que se mantenga.","Native",1291,"30.3. Hymenophyllion tunbrigensis","Sedum telephium","Sedum telephium L.","Sedum","","telephium","","","L.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",7,5,6,5,6,5
"+","Sedum villosum L.",".","Crassulaceae",".","Therophyte","Sedum villosum",".","Sedum","villosum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2349,"14c. Caricetalia davallianae","Sedum villosum","Sedum villosum L.","Sedum","","villosum","","","L.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",9,5,7,4,5,5
"+","Selaginella selaginoides (L.) P. Beauv. ex Mart. & Schrank",".","Selaginellaceae",".","Chamaephyte","Selaginella selaginoides",".","Selaginella","selaginoides",NA,NA,"(L.) P. Beauv. ex Mart. & Schrank",".",".",".",".",".",NA,NA,NA,NA,"Native",2350,"59.3. Juncion acutiflori","Selaginella selaginoides","Selaginella selaginoides (L.) P. Beauv. ex Mart. & Schrank","Selaginella","","selaginoides","","","(L.) P. Beauv. ex Mart. & Schrank","Selaginellaceae","Selaginellales","Lycopodiopsida","Pteridophytes","Pteridophytes",9,5,7,3,6,4
"+","Selinum carvifolia subsp. broteri (Hoffmanns. & Link) Laínz",".","Apiaceae",".","Hemicryptophyte","Selinum carvifolia subsp. broteri",".","Selinum","carvifolia","subsp.","broteri","(Hoffmanns. & Link) Laínz",".",".",".","VU","VU","y",NA,NA,NA,"Native",2351,"55. Sedo albi-Scleranthetea biennis","Selinum carvifolia","Selinum carvifolia (L.) L.","Selinum","","carvifolia","","","(L.) L.","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Angelica pyrenaea (L.) Spreng.",".","Apiaceae",".","Hemicryptophyte","Angelica pyrenaea",".","Angelica","pyrenaea",NA,NA,"(L.) Spreng.",".",".",".",".",".",NA,NA,NA,NA,"Native",170,"60. Nardetea strictae","Selinum pyrenaeum","Selinum pyrenaeum (L.) Gouan","Selinum","","pyrenaeum","","","(L.) Gouan","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",8,5,7,3,4,5
"+","Sempervivum arachnoideum L.",".","Crassulaceae",".","Chamaephyte","Sempervivum arachnoideum",".","Sempervivum","arachnoideum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2352,"55.2. Sedion pyrenaici","Sempervivum arachnoideum","Sempervivum arachnoideum L.","Sempervivum","","arachnoideum","","","L.","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",5,6,8,2,4,3
"+","Sempervivum vicentei Pau",".","Crassulaceae",".","Chamaephyte","Sempervivum vicentei",".","Sempervivum","vicentei",NA,NA,"Pau",".",".",".",".",".",NA,NA,NA,NA,"Native",2356,"71.11a. Hyperico androsaemi-Alnenion glutinosae","Sempervivum vicentei","Sempervivum vicentei Pau","Sempervivum","","vicentei","","","Pau","Crassulaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",4,6,8,3,6,4
"+","Senecio bayonnensis Boiss.",".","Compositae",".","Hemicryptophyte","Senecio bayonnensis",".","Senecio","bayonnensis",NA,NA,"Boiss.",".",".",".",".",".",NA,NA,NA,NA,"Native",2357,"59.8. Deschampsion mediae","Senecio bayonnensis","Senecio bayonnensis Boiss.","Senecio","","bayonnensis","","","Boiss.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",8,4,6,5,5,6
