"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"77","S-P15145","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1967,-1.974220923,43.02643256,"1 - UTM1x1 + Elevation",310,"",NA,"Balloto-Conion maculati"
"78","S-P15146","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R",100,1967,-1.969251875,43.02998989,"1 - UTM1x1 + Elevation",490,"",NA,"Balloto-Conion maculati"
"79","S-P15147","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",50,1967,-1.504837161,43.14912973,"2 - UTM1x1 + Centroid",100,"",NA,"Balloto-Conion maculati"
"80","S-P15148","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V38",50,1967,-2.100370981,42.96085661,"1 - UTM1x1 + Elevation",650,"",NA,"Balloto-Conion maculati"
"81","S-P15149","Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","R57",100,1967,-1.508988744,42.97809312,"1 - UTM1x1 + Elevation",640,"",5,"Balloto-Conion maculati"
"82","S-P15151","Balloto-Conion maculati","Balloto-Conion maculati","Epilobietea angustifolii","V38",20,1967,-1.969251875,43.02998989,"1 - UTM1x1 + Elevation",480,"",NA,"Balloto-Conion maculati"
"83","S-P15152","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V",50,1967,-1.766112841,42.99916413,"2 - UTM1x1 + Centroid",920,"",NA,"Balloto-Conion maculati"
"84","S-P15153","Geranietum robertiano-lucidi","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","R55",20,1967,-2.269424273,43.17997973,"1 - UTM1x1 + Elevation",120,"",5,"Balloto-Conion maculati"
"85","S-P15154","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R55",20,1967,-2.262020399,43.18173316,"1 - UTM1x1 + Elevation",120,"",5,"Balloto-Conion maculati"
"86","S-P15155","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R55",50,1967,-2.269359848,43.18538217,"1 - UTM1x1 + Elevation",190,"",5,"Balloto-Conion maculati"
"87","S-P15156","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R55",20,1967,-2.41271908,43.12137322,"1 - UTM1x1 + Elevation",180,"",5,"Balloto-Conion maculati"
"88","S-P15157","Geranietum robertiano-lucidi","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","V",20,1967,-2.217657394,43.18684124,"1 - UTM1x1 + Elevation",180,"",NA,"Balloto-Conion maculati"
"89","S-P15158","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Artemisietea vulgaris","R55",NA,1967,-2.255082735,42.9421568,"1 - UTM1x1 + Elevation",750,"",NA,"Cirsion richterano-chodati"
"90","S-P17963","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1982,-2.739314292,43.21443251,"1 - UTM1x1 + Elevation",110,"",NA,"Balloto-Conion maculati"
"91","S-P17964","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",30,1982,-2.734389712,43.21442118,"1 - UTM1x1 + Elevation",110,"",NA,"Balloto-Conion maculati"
"92","S-P17965","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1982,-2.662416887,43.31688458,"1 - UTM1x1 + Elevation",90,"",NA,"Balloto-Conion maculati"
"93","S-P17966","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1982,-2.657473961,43.3186708,"1 - UTM1x1 + Elevation",80,"",NA,"Balloto-Conion maculati"
"94","S-P17967","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V",30,1982,-2.65095979,43.16377029,"1 - UTM1x1 + Elevation",180,"",NA,"Balloto-Conion maculati"
"95","S-P17968","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",30,1982,-2.648478904,43.16736462,"1 - UTM1x1 + Elevation",180,"",NA,"Balloto-Conion maculati"
"96","S-P17969","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V",30,1982,-2.646008126,43.16915796,"1 - UTM1x1 + Elevation",180,"",NA,"Balloto-Conion maculati"
"97","S-P17970","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1982,-2.575129549,43.10047977,"1 - UTM1x1 + Elevation",250,"",NA,"Balloto-Conion maculati"
"98","S-P17971","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V39",20,1982,-2.577587227,43.10048887,"1 - UTM1x1 + Elevation",250,"",NA,"Balloto-Conion maculati"
"99","S-P17972","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R",10,1982,-2.673561842,43.07739006,"2 - UTM1x1 + Centroid",450,"",NA,"Balloto-Conion maculati"
"100","S-P18282","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V38",30,1974,-5.92266808,43.15577265,"1 - UTM1x1 + Elevation",850,"S",40,"Balloto-Conion maculati"
"101","S-P18283","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V38",30,1974,-5.92266808,43.15577265,"1 - UTM1x1 + Elevation",830,"SE",30,"Balloto-Conion maculati"
"102","S-P18284","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V38",40,1974,-6.025787152,43.20171132,"1 - UTM1x1 + Elevation",300,"",NA,"Balloto-Conion maculati"
"103","S-P18419","Bidentetea tripartitae","Bidention tripartitae","Bidentetea","V",15,1974,-5.945297316,43.16599674,"2 - UTM1x1 + Centroid",420,"W",NA,"Balloto-Conion maculati"
"104","S-P19751","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",4,2001,-5.633738198,42.784607,"3 - UTM10x10 + Elevation",970,"S",1.8,"Balloto-Conion maculati"
"105","S-P21804","Chenopodio boni-henrici-Senecietum durieui","Arction lappae","Epilobietea angustifolii","C35a",10,1981,-6.283627571,43.05233259,"3 - UTM10x10 + Elevation",1640,"",NA,"Balloto-Conion maculati"
"106","S-P21810","Arction","Arction lappae","Epilobietea angustifolii","V39",10,1981,-6.106897356,43.10229232,"3 - UTM10x10 + Elevation",1100,"",NA,"Balloto-Conion maculati"
"107","S-P21812","Arction","Arction lappae","Epilobietea angustifolii","V39",30,1981,-6.261877126,43.10517829,"3 - UTM10x10 + Elevation",890,"",NA,"Balloto-Conion maculati"
"108","T-P03067","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1986,-3.200156905,43.33341586,"3 - UTM10x10 + Elevation",150,"",NA,"Balloto-Conion maculati"
"109","T-P03068","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1986,-3.126031935,43.27949392,"3 - UTM10x10 + Elevation",200,"",NA,"Balloto-Conion maculati"
"110","T-P03069","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R55",15,1986,-3.06693273,43.33357141,"3 - UTM10x10 + Elevation",250,"",NA,"Balloto-Conion maculati"
"111","T-P03070","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1986,-3.049613051,43.27234887,"3 - UTM10x10 + Elevation",300,"",NA,"Balloto-Conion maculati"
"112","T-P03071","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V",15,1986,-3.209938483,43.3081855,"3 - UTM10x10 + Elevation",400,"",NA,"Balloto-Conion maculati"
"113","T-P03072","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",15,1986,-3.091552561,43.29933691,"3 - UTM10x10 + Elevation",250,"",NA,"Balloto-Conion maculati"
"114","T-P03073","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R",15,1986,-3.059527844,43.32997367,"3 - UTM10x10 + Elevation",200,"",NA,"Balloto-Conion maculati"
"115","T-P03074","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Artemisietea vulgaris","V39",9,1986,-2.806393531,43.02546284,"3 - UTM10x10 + Elevation",1070,"NE",NA,"Cirsion richterano-chodati"
"116","T-P03075","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",8,1986,-2.811236774,43.047083,"3 - UTM10x10 + Elevation",1100,"N",NA,"Cirsion richterano-chodati"
"117","T-P03076","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Artemisietea vulgaris","H25",10,1986,-2.806308577,43.05247778,"3 - UTM10x10 + Elevation",1200,"NW",NA,"Cirsion richterano-chodati"
"118","T-P03077","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Artemisietea vulgaris","H25",10,1986,-2.803858503,43.0506726,"3 - UTM10x10 + Elevation",1100,"N",NA,"Cirsion richterano-chodati"
"119","T-P04812","Senecioni duriaei-Chenopodietum boni-henrici","Arction lappae","Epilobietea angustifolii","V39",40,1984,-4.754385375,43.24629828,"3 - UTM10x10 + Elevation",1060,"",NA,"Balloto-Conion maculati"
"120","T-P04813","Senecioni duriaei-Chenopodietum boni-henrici","Arction lappae","Epilobietea angustifolii","V39",10,1984,-4.822576379,43.05433533,"3 - UTM10x10 + Elevation",1400,"",NA,"Balloto-Conion maculati"
"121","T-P04814","Senecioni duriaei-Chenopodietum boni-henrici","Arction lappae","Epilobietea angustifolii","V39",NA,1984,-4.798549642,43.24020958,"3 - UTM10x10 + Elevation",1500,"",NA,"Balloto-Conion maculati"
"122","T-P04816","Senecioni duriaei-Chenopodietum boni-henrici","Arction lappae","Epilobietea angustifolii","V39",10,1984,-4.934827061,43.18756032,"3 - UTM10x10 + Elevation",1700,"",NA,"Balloto-Conion maculati"
