"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"28","R-P23979","Setario verticillatae-Echinochloetum crus-galli","V10W",30,1986,-6.806318264,42.32840955,"3 - UTM10x10 + Elevation",900,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"29","R-P23980","Setario verticillatae-Echinochloetum crus-galli","V10W",100,1986,-6.787049106,42.33084935,"3 - UTM10x10 + Elevation",900,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"30","R-P24614","Euphorbietum chamaesyco-prostratae",NA,6,2012,-6.818573607,42.45045881,"1 - UTM1x1 + Elevation",407,"Euphorbion prostratae","Euphorbietalia prostratae","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"31","R-P24615","Euphorbietum chamaesyco-prostratae",NA,2,2012,-6.809411851,42.45976828,"1 - UTM1x1 + Elevation",420,"Euphorbion prostratae","Euphorbietalia prostratae","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"32","R-P24633","Setario verticillatae-Echinochloetum crus-galli","V10W",80,2012,-6.828515861,42.41411,"1 - UTM1x1 + Elevation",353,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"33","R-P24634","Setario verticillatae-Echinochloetum crus-galli","V10W",5,2012,-6.630083344,42.26029547,"1 - UTM1x1 + Elevation",1010,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"34","R-P24635","Setario verticillatae-Echinochloetum crus-galli","V10W",15,2012,-6.591327281,42.34615955,"1 - UTM1x1 + Elevation",835,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"35","R-P24636","Setario verticillatae-Echinochloetum crus-galli","V10W",15,2012,-6.593750648,42.34608353,"1 - UTM1x1 + Elevation",860,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"36","R-P24637","Setario verticillatae-Echinochloetum crus-galli","V10W",15,2012,-6.540030457,42.3405532,"1 - UTM1x1 + Elevation",1074,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"37","R-P24638","Setario verticillatae-Echinochloetum crus-galli","V10W",20,2012,-6.7084962,42.39825169,"1 - UTM1x1 + Elevation",800,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"38","R-P24639","Setario verticillatae-Echinochloetum crus-galli","V10W",10,2012,-6.658216169,42.3692545,"1 - UTM1x1 + Elevation",922,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"39","R-P24640","Setario verticillatae-Echinochloetum crus-galli","V10W",20,2012,-6.712300785,42.42153955,"1 - UTM1x1 + Elevation",470,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"40","R-P24641","Setario verticillatae-Echinochloetum crus-galli","V10W",30,2012,-6.815491472,42.4397566,"1 - UTM1x1 + Elevation",376,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"41","R-P24642","Setario verticillatae-Echinochloetum crus-galli","V10W",15,2012,-6.660640244,42.36917703,"1 - UTM1x1 + Elevation",945,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"42","R-P24643","Setario verticillatae-Echinochloetum crus-galli","V10W",10,2012,-6.665383717,42.3672244,"1 - UTM1x1 + Elevation",948,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"43","R-P24644","Setario verticillatae-Echinochloetum crus-galli","V10W",20,2012,-6.744265633,42.42590455,"2 - UTM1x1 + Centroid",422,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"44","R-P24645","Setario verticillatae-Echinochloetum crus-galli","V10W",25,2012,-6.669323606,42.26804957,"1 - UTM1x1 + Elevation",1054,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
