"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"87","R-P27086","Coleostepho myconis-Galactitetum tomentosae","V332",30,1985,-9.076223063,42.78970726,"4 - UTM10x10 + Centroid",103.5,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"88","R-P27087","Coleostepho myconis-Galactitetum tomentosae","V332",9,1985,-8.896225772,42.77268555,"3 - UTM10x10 + Elevation",35,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"89","R-P27088","Coleostepho myconis-Galactitetum tomentosae","V332",15,1985,-9.024891352,42.66334622,"3 - UTM10x10 + Elevation",50,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"90","R-P27089","Coleostepho myconis-Galactitetum tomentosae","V332",5,1985,-8.655536799,42.30235536,"3 - UTM10x10 + Elevation",40,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"91","R-P27090","Coleostepho myconis-Galactitetum tomentosae","V332",20,1985,-8.730383271,42.29862745,"3 - UTM10x10 + Elevation",80,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"92","R-P27091","Coleostepho myconis-Galactitetum tomentosae","V37W",10,1985,-7.868039742,42.34399505,"3 - UTM10x10 + Elevation",110,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"93","R-P27092","Coleostepho myconis-Galactitetum tomentosae","V332",10,1985,-8.218287074,43.28101945,"3 - UTM10x10 + Elevation",40,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"94","R-P27093","Coleostepho myconis-Galactitetum tomentosae","V332",12,1985,-8.02739789,43.62448443,"3 - UTM10x10 + Elevation",170,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"95","R-P27094","Coleostepho myconis-Galactitetum tomentosae","V332",30,1985,-8.449176467,42.85624262,"4 - UTM10x10 + Centroid",291,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"96","R-P27095","Coleostepho myconis-Galactitetum tomentosae","V332",25,1985,-7.847236582,42.31138127,"4 - UTM10x10 + Centroid",305,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"97","R-P27096","Coleostepho myconis-Galactitetum tomentosae","V332",10,1985,-7.492084004,41.94706717,"4 - UTM10x10 + Centroid",515,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"98","R-P27097","Coleostepho myconis-Galactitetum tomentosae","V332",20,1985,-8.572186673,42.76671167,"4 - UTM10x10 + Centroid",147,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"99","R-P27098","Coleostepho myconis-Galactitetum tomentosae","V332",80,1985,-8.619651879,42.28071968,"3 - UTM10x10 + Elevation",40,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"100","R-P27099","Coleostepho myconis-Galactitetum tomentosae","V332",10,1985,-8.603893194,42.26708981,"3 - UTM10x10 + Elevation",50,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"101","R-P27100","Coleostepho myconis-Galactitetum tomentosae","V332",10,1985,-8.021703226,42.32294709,"3 - UTM10x10 + Elevation",120,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"102","R-P27101","Coleostepho myconis-Galactitetum tomentosae","V332",8,1985,-7.999375323,42.34733288,"3 - UTM10x10 + Elevation",120,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"103","R-P27102","Coleostepho myconis-Galactitetum tomentosae","V332",12,1985,-5.814756567,43.6140776,"4 - UTM10x10 + Centroid",48,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"104","R-P27103","Coleostepho myconis-Galactitetum tomentosae","V332",10,1985,-5.814756567,43.6140776,"4 - UTM10x10 + Centroid",48,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
