Percentage synoptic table with fidelity {Phi coeff. C } (26 columns),,,,,,,,,,,,,,,,,,,,,,,,,,
Semisupervised,Aegopodion podagrariae,Allion triquetri,Arction lappae,Balloto-Conion maculati,Bidention tripartitae,Carduo carpetani-Cirsion odontolepidis,Cirsion richterano-chodati,Cymbalario-Asplenion,Cynancho-Convolvulion sepium,Dauco-Melilotion,Echio-Galactition tomentosae,Epilobion angustifolii,Galio valantiae-Parietarion judaicae,Geo urbani-Alliarion officinalis,Geranio pusilli-Anthriscion caucalidis,Linario polygalifoliae-Vulpion alopecuri,Oxalidion europeae,Paspalo-Agrostion semiverticillati,Polycarpion tetraphylli,Polygono-Coronopodion,Saginion procumbentis,Scleranthion annui,Senecionion fluviatilis,Sisymbrion officinalis,Spergulo arvensis-Erodion cicutariae,Noise
Lactuca tenerrima,  ---,  ---,  ---,  ---,  ---,  ---,6.1,  ---,  ---,  ---,  ---,  ---,8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Vicia tetrasperma,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,10.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.8
Lathyrus latifolius,  ---,  ---,  ---,4.2,  ---,  ---,  ---,  ---,  ---,9.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Lathyrus cicera,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,13.3,  ---,  ---,  ---,0.8
Crocosmia x crocosmiiflora,  ---,  ---,  ---,  ---,13.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.8
Hainardia cylindrica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.6,  ---,  ---,  ---,3.8,  ---,6.5
Carex remota,  ---,11.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Carlina corymbosa,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,9.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5
Veronica montana,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Vicia peregrina,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Silene scabriflora,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Luzula multiflora,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Trifolium squamosum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Lathyrus hirsutus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Vicia bithynica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Vicia disperma,  ---,  ---,  ---,8.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.7,  ---,  ---,  ---,0.8
Trifolium fragiferum,  ---,  ---,  ---,  ---,  ---,  ---,5.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.5,  ---,  ---,  ---,  ---,  ---,4.9
Ochlopoa infirma,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cerastium semidecandrum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7.4,  ---,  ---,4.7,  ---,  ---,  ---,2.1
Luzula pediformis,  ---,  ---,15.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Phalacrocarpum oppositifolium,  ---,  ---,15.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Phagnalon sordidum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Festuca rivas-martinezii,  ---,  ---,15.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Rhinanthus alectorolophus,  ---,  ---,15.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Sempervivum vicentei,  ---,  ---,15.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Potentilla asturica,  ---,  ---,15.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cruciata glabra,  ---,  ---,15.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Alchemilla catalaunica,  ---,  ---,15.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Bromus squarrosus,  ---,  ---,15.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Brassica napus,  ---,  ---,  ---,4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.8,  ---,  ---,  ---,  ---,2,  ---,  ---,  ---,4.9
Typha domingensis,  ---,  ---,  ---,  ---,13,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.1
Chaerophyllum nodosum,  ---,10.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.7
Sonchus arvensis,  ---,10.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.7
Petrorhagia prolifera,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,9.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.5,  ---,2
Malva nicaeensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,14.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.7
Fumaria densiflora,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,14.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.7
Stellaria graminea,  ---,  ---,  ---,  ---,  ---,  ---,5.4,  ---,  ---,  ---,  ---,  ---,  ---,3.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.5,  ---,2
Stellaria alsine,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7,  ---,  ---,4.5,  ---,  ---,  ---,3.3
Centaurea ornata,  ---,  ---,  ---,  ---,  ---,16.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Centaurea solstitialis,  ---,  ---,  ---,  ---,  ---,16.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Santolina semidentata,  ---,  ---,  ---,  ---,  ---,16.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Tanacetum vulgare,  ---,  ---,  ---,  ---,  ---,16.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Koeleria vallesiana,  ---,  ---,14.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.7
Cerastium arvense,  ---,  ---,14.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.7
Thymus pulegioides,  ---,  ---,14.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.7
Gnaphalium pensylvanicum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7,3.2,  ---,  ---,  ---,3.4,  ---,0.7
Heliotropium europaeum,  ---,  ---,  ---,  ---,12.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.3
Stenotaphrum secundatum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7.1
Atriplex prostrata,  ---,  ---,  ---,  ---,19.7,  ---,  ---,  ---,  ---,1.2,  ---,  ---,  ---,  ---,  ---,  ---,3.5,10.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Euphorbia stricta,  ---,  ---,  ---,16.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Moehringia trinervia,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Milium vernale,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Euphorbia dulcis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Trifolium cernuum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7.3,  ---,  ---
Gastridium ventricosum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,14,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.9
Juncus bulbosus,  ---,  ---,  ---,  ---,12.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.6
Viola kitaibeliana,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.7,  ---,  ---,  ---,  ---
Silene baccifera,  ---,  ---,  ---,7.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.3,  ---,0.6
Galeopsis angustifolia,  ---,  ---,14.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.8,  ---,  ---,  ---,  ---
Festuca ovina,  ---,  ---,14.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.9
Consolida ajacis,  ---,  ---,14.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.9
Erica vagans,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Campanula glomerata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Silene flos-cuculi,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Pulmonaria affinis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Dryopteris borreri,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Osmunda regalis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Carex sylvatica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Acer pseudoplatanus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Jacobaea erratica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Polypodium vulgare,  ---,  ---,  ---,  ---,  ---,  ---,  ---,9.4,  ---,  ---,  ---,  ---,6.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Lithospermum officinale,  ---,  ---,  ---,7.7,  ---,  ---,  ---,  ---,  ---,8.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Carduus x cantabricus,  ---,  ---,  ---,  ---,  ---,  ---,10.8,  ---,  ---,  ---,  ---,  ---,  ---,2.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.8
Elytrigia atherica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.4,  ---,  ---,6.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.6
Lythrum junceum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3,  ---,  ---,  ---,  ---,  ---,4.3
Iris foetidissima,17.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Aconitum napellus,17.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Aegonychon purpurocaeruleum,17.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Arabis auriculata,17.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Ornithogalum pyrenaicum,17.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Allium roseum,17.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Knautia nevadensis,17.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Bromus lanceolatus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Carduus bourgeanus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Allium ampeloprasum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Thlaspi arvense,  ---,  ---,  ---,  ---,  ---,  ---,5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5.5,  ---,  ---,3,  ---,1.7,  ---,  ---,  ---,  ---
Erodium ciconium,  ---,  ---,  ---,  ---,  ---,14.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.7,  ---,  ---,  ---,  ---
Lamium album,  ---,  ---,  ---,3.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,13.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Trifolium strictum,  ---,  ---,  ---,  ---,  ---,14.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.8
Galium tricornutum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.4,  ---,  ---,  ---,10.3
Molinia caerulea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5
Juncus conglomeratus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5
Crepis pulchra,  ---,  ---,  ---,7.4,  ---,  ---,  ---,  ---,  ---,8.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5
Prunus spinosa,  ---,  ---,  ---,7.4,  ---,  ---,  ---,  ---,  ---,8.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5
Euphorbia amygdaloides,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,12.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.1
Diplotaxis tenuifolia,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.7,  ---,1.7
Bidens aureus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5
Lactuca saligna,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5
Linum strictum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5
Ononis natrix,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5
Myosotis persoonii,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.8,  ---,  ---,  ---,  ---
Pimpinella siifolia,  ---,  ---,13.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5
Tripleurospermum inodorum,  ---,  ---,  ---,  ---,  ---,  ---,4.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.4,  ---,  ---,  ---,3,  ---,1.7
Caucalis platycarpos,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.9,  ---,3,  ---,2.9
Myrrhis odorata,  ---,  ---,  ---,11.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Filago arvensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5.2,  ---,  ---,  ---,  ---,10.8,  ---,  ---,  ---,0.5
Ulex gallii,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.6
Phragmites australis,  ---,  ---,  ---,  ---,11.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.8
Fraxinus angustifolia,  ---,  ---,  ---,3.2,11,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Viola alba,15.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.6
Veronica chamaedrys,10.1,  ---,  ---,9.3,  ---,  ---,  ---,  ---,  ---,  ---,7.7,  ---,  ---,13.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Arum maculatum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.6,14.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Arabis glabra,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.6,14.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Piptatherum paradoxum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.6,14.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Senecio pyrenaicus,  ---,  ---,13,  ---,  ---,  ---,4.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cynosurus effusus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,14.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.8
Allium oleraceum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.6
Rubia peregrina,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,12.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5.1
Linaria saxatilis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.2,  ---,  ---,  ---,0.4
